,d,Share,Run,Price
214,2020-02-03,42.016806722689076,42,28.56
215,2020-03-02,42.796005706134096,43,28.04
216,2020-02-24,41.943376441803565,43,28.61
217,2020-02-14,40.88586030664395,43,29.35
218,2020-02-07,41.32231404958678,43,29.04
219,2020-01-31,42.1792618629174,43,28.45
220,2020-02-28,43.84362440628425,44,27.37
221,2020-02-21,41.08182129407737,44,29.21
222,2020-02-13,40.899795501022496,44,29.34
223,2020-02-06,41.208791208791204,44,29.12
224,2020-01-30,41.72461752433936,44,28.76
225,2020-02-27,43.731778425655975,45,27.44
226,2020-02-20,40.899795501022496,45,29.34
227,2020-02-12,40.87193460490463,45,29.36
228,2020-02-05,41.35079255685734,45,29.02
229,2020-01-29,41.69562195969423,45,28.78
230,2020-02-26,42.68943436499467,46,28.11
231,2020-02-19,40.802448146888814,46,29.41
232,2020-02-11,41.011619958988376,46,29.26
233,2020-02-04,41.65220409580007,46,28.81
234,2020-01-28,41.75365344467641,46,28.74
235,2020-02-25,42.62877442273535,47,28.15
236,2020-02-18,40.941658137154555,47,29.31
237,2020-02-10,41.1240575736806,47,29.18
238,2020-02-03,42.016806722689076,47,28.56
239,2020-01-27,42.00210010500525,47,28.57
240,2020-02-24,41.943376441803565,48,28.61
241,2020-02-14,40.88586030664395,48,29.35
242,2020-02-07,41.32231404958678,48,29.04
243,2020-01-31,42.1792618629174,48,28.45
244,2020-01-24,41.52249134948097,48,28.9
245,2020-02-21,41.08182129407737,49,29.21
246,2020-02-13,40.899795501022496,49,29.34
247,2020-02-06,41.208791208791204,49,29.12
248,2020-01-30,41.72461752433936,49,28.76
249,2020-01-23,41.37931034482759,49,29.0
